productID,name,sub-category,category
EU-FUR-BO-10000002,"Bush Classic Bookcase, Mobile",Bookcases,Furniture
EU-FUR-BO-10000022,"Dania Floating Shelf Set, Traditional",Bookcases,Furniture
EU-FUR-BO-10000034,"Safco Classic Bookcase, Pine",Bookcases,Furniture
EU-FUR-BO-10000120,"Sauder Stackable Bookrack, Mobile",Bookcases,Furniture
EU-FUR-BO-10000155,"Dania Corner Shelving, Metal",Bookcases,Furniture
EU-FUR-BO-10000160,"Safco Library with Doors, Pine",Bookcases,Furniture
EU-FUR-BO-10000170,"Safco Library with Doors, Mobile",Bookcases,Furniture
EU-FUR-BO-10000259,"Safco Classic Bookcase, Traditional",Bookcases,Furniture
EU-FUR-BO-10000265,"Bush Floating Shelf Set, Pine",Bookcases,Furniture
EU-FUR-BO-10000268,"Bush Library with Doors, Pine",Bookcases,Furniture
EU-FUR-BO-10000279,"Dania Classic Bookcase, Pine",Bookcases,Furniture
EU-FUR-BO-10000311,"Safco Floating Shelf Set, Metal",Bookcases,Furniture
EU-FUR-BO-10000490,"Bush Library with Doors, Metal",Bookcases,Furniture
EU-FUR-BO-10000514,"Bush Library with Doors, Traditional",Bookcases,Furniture
EU-FUR-BO-10000533,"Dania Corner Shelving, Pine",Bookcases,Furniture
EU-FUR-BO-10000596,"Sauder Classic Bookcase, Mobile",Bookcases,Furniture
EU-FUR-BO-10000684,"Sauder Corner Shelving, Traditional",Bookcases,Furniture
EU-FUR-BO-10000728,"Dania Corner Shelving, Traditional",Bookcases,Furniture
EU-FUR-BO-10000786,"Sauder Stackable Bookrack, Pine",Bookcases,Furniture
EU-FUR-BO-10000797,"Safco 3-Shelf Cabinet, Pine",Bookcases,Furniture
EU-FUR-BO-10000820,"Sauder 3-Shelf Cabinet, Metal",Bookcases,Furniture
EU-FUR-BO-10000847,"Dania Stackable Bookrack, Mobile",Bookcases,Furniture
EU-FUR-BO-10000895,"Sauder Corner Shelving, Metal",Bookcases,Furniture
EU-FUR-BO-10000936,"Bush Floating Shelf Set, Traditional",Bookcases,Furniture
EU-FUR-BO-10000967,"Ikea Library with Doors, Pine",Bookcases,Furniture
EU-FUR-BO-10001003,"Dania 3-Shelf Cabinet, Traditional",Bookcases,Furniture
EU-FUR-BO-10001010,"Dania Corner Shelving, Mobile",Bookcases,Furniture
EU-FUR-BO-10001039,"Dania Classic Bookcase, Traditional",Bookcases,Furniture
EU-FUR-BO-10001133,"Ikea Classic Bookcase, Mobile",Bookcases,Furniture
EU-FUR-BO-10001155,"Ikea 3-Shelf Cabinet, Metal",Bookcases,Furniture
EU-FUR-BO-10001165,"Bush Library with Doors, Mobile",Bookcases,Furniture
EU-FUR-BO-10001256,"Ikea Corner Shelving, Pine",Bookcases,Furniture
EU-FUR-BO-10001287,"Dania Floating Shelf Set, Metal",Bookcases,Furniture
EU-FUR-BO-10001324,"Sauder Floating Shelf Set, Pine",Bookcases,Furniture
EU-FUR-BO-10001387,"Safco Floating Shelf Set, Traditional",Bookcases,Furniture
EU-FUR-BO-10001392,"Sauder Classic Bookcase, Traditional",Bookcases,Furniture
EU-FUR-BO-10001405,"Bush Stackable Bookrack, Pine",Bookcases,Furniture
EU-FUR-BO-10001436,"Bush Corner Shelving, Traditional",Bookcases,Furniture
EU-FUR-BO-10001537,"Ikea Corner Shelving, Metal",Bookcases,Furniture
EU-FUR-BO-10001553,"Sauder Library with Doors, Traditional",Bookcases,Furniture
EU-FUR-BO-10001555,"Bush Corner Shelving, Metal",Bookcases,Furniture
EU-FUR-BO-10001621,"Dania Stackable Bookrack, Traditional",Bookcases,Furniture
EU-FUR-BO-10001714,"Dania Floating Shelf Set, Mobile",Bookcases,Furniture
EU-FUR-BO-10001831,"Sauder Floating Shelf Set, Metal",Bookcases,Furniture
EU-FUR-BO-10001834,"Ikea 3-Shelf Cabinet, Mobile",Bookcases,Furniture
EU-FUR-BO-10001873,"Ikea Floating Shelf Set, Mobile",Bookcases,Furniture
EU-FUR-BO-10001876,"Safco Corner Shelving, Pine",Bookcases,Furniture
EU-FUR-BO-10001888,"Dania Floating Shelf Set, Pine",Bookcases,Furniture
EU-FUR-BO-10001892,"Sauder Library with Doors, Pine",Bookcases,Furniture
EU-FUR-BO-10001943,"Safco Library with Doors, Traditional",Bookcases,Furniture
EU-FUR-BO-10002003,"Sauder Classic Bookcase, Metal",Bookcases,Furniture
EU-FUR-BO-10002133,"Bush Corner Shelving, Mobile",Bookcases,Furniture
EU-FUR-BO-10002182,"Safco Floating Shelf Set, Pine",Bookcases,Furniture
EU-FUR-BO-10002318,"Dania Classic Bookcase, Mobile",Bookcases,Furniture
EU-FUR-BO-10002529,"Safco Library with Doors, Metal",Bookcases,Furniture
EU-FUR-BO-10002632,"Sauder Corner Shelving, Pine",Bookcases,Furniture
EU-FUR-BO-10002680,"Sauder 3-Shelf Cabinet, Traditional",Bookcases,Furniture
EU-FUR-BO-10002708,"Dania Library with Doors, Pine",Bookcases,Furniture
EU-FUR-BO-10002781,"Sauder Floating Shelf Set, Traditional",Bookcases,Furniture
EU-FUR-BO-10002812,"Sauder 3-Shelf Cabinet, Pine",Bookcases,Furniture
EU-FUR-BO-10002889,"Dania Stackable Bookrack, Pine",Bookcases,Furniture
EU-FUR-BO-10002892,"Safco Classic Bookcase, Mobile",Bookcases,Furniture
EU-FUR-BO-10002926,"Bush Stackable Bookrack, Mobile",Bookcases,Furniture
EU-FUR-BO-10002936,"Ikea Stackable Bookrack, Pine",Bookcases,Furniture
EU-FUR-BO-10003007,"Ikea Stackable Bookrack, Metal",Bookcases,Furniture
EU-FUR-BO-10003028,"Sauder 3-Shelf Cabinet, Mobile",Bookcases,Furniture
EU-FUR-BO-10003103,"Ikea Classic Bookcase, Metal",Bookcases,Furniture
EU-FUR-BO-10003126,"Dania Library with Doors, Traditional",Bookcases,Furniture
EU-FUR-BO-10003333,"Sauder Stackable Bookrack, Traditional",Bookcases,Furniture
EU-FUR-BO-10003541,"Bush Classic Bookcase, Metal",Bookcases,Furniture
EU-FUR-BO-10003554,"Dania 3-Shelf Cabinet, Mobile",Bookcases,Furniture
EU-FUR-BO-10003559,"Sauder Stackable Bookrack, Pine",Bookcases,Furniture
EU-FUR-BO-10003604,"Ikea Corner Shelving, Mobile",Bookcases,Furniture
EU-FUR-BO-10003647,"Ikea Classic Bookcase, Pine",Bookcases,Furniture
EU-FUR-BO-10003697,"Safco Floating Shelf Set, Mobile",Bookcases,Furniture
EU-FUR-BO-10003734,"Dania Classic Bookcase, Metal",Bookcases,Furniture
EU-FUR-BO-10003738,"Dania Library with Doors, Mobile",Bookcases,Furniture
EU-FUR-BO-10003779,"Ikea Library with Doors, Traditional",Bookcases,Furniture
EU-FUR-BO-10003828,"Bush 3-Shelf Cabinet, Metal",Bookcases,Furniture
EU-FUR-BO-10003878,"Safco Corner Shelving, Mobile",Bookcases,Furniture
EU-FUR-BO-10003881,"Sauder Floating Shelf Set, Mobile",Bookcases,Furniture
EU-FUR-BO-10003903,"Dania 3-Shelf Cabinet, Pine",Bookcases,Furniture
EU-FUR-BO-10003904,"Ikea Corner Shelving, Traditional",Bookcases,Furniture
