Order ID,Returned
ES-2018-1137137,Yes
ES-2018-1141056,Yes
ES-2018-1228490,Yes
ES-2018-1228490,Yes
ES-2018-1228490,Yes
ES-2018-1276768,Yes
ES-2018-1276768,Yes
ES-2018-1443340,Yes
ES-2018-1443340,Yes
ES-2018-1868803,Yes
ES-2018-1868803,Yes
ES-2018-1868803,Yes
ES-2018-1868803,Yes
ES-2018-2417338,Yes
ES-2018-2835499,Yes
ES-2018-2835499,Yes
ES-2018-2835499,Yes
ES-2018-2835499,Yes
ES-2018-2835499,Yes
ES-2018-2835499,Yes
ES-2018-2835499,Yes
ES-2018-3028321,Yes
ES-2018-3074997,Yes
ES-2018-3106999,Yes
ES-2018-3106999,Yes
ES-2018-3108517,Yes
ES-2018-3108517,Yes
ES-2018-3108517,Yes
ES-2018-3249098,Yes
ES-2018-3305419,Yes
ES-2018-3305419,Yes
ES-2018-3305419,Yes
ES-2018-3305419,Yes
ES-2018-3305419,Yes
ES-2018-3305419,Yes
ES-2018-3366039,Yes
ES-2018-3654318,Yes
ES-2018-3654318,Yes
ES-2018-3864297,Yes
ES-2018-3864297,Yes
ES-2018-3864297,Yes
ES-2018-4351366,Yes
ES-2018-4351366,Yes
ES-2018-4359424,Yes
ES-2018-4359424,Yes
ES-2018-4694484,Yes
ES-2018-4816650,Yes
ES-2018-4816650,Yes
ES-2018-4816650,Yes
ES-2018-5032747,Yes
ES-2018-5118812,Yes
ES-2018-5118812,Yes
ES-2018-5201850,Yes
ES-2018-5263174,Yes
ES-2018-5263174,Yes
ES-2018-5273102,Yes
ES-2018-5273102,Yes
ES-2018-5389664,Yes
ES-2018-5389664,Yes
ES-2018-5389664,Yes
ES-2018-5464858,Yes
ES-2018-5803751,Yes
ES-2018-5803751,Yes
ES-2019-1211902,Yes
ES-2019-1295099,Yes
ES-2019-1363320,Yes
ES-2019-1382586,Yes
ES-2019-1382586,Yes
ES-2019-1382586,Yes
ES-2019-1439531,Yes
ES-2019-1439531,Yes
ES-2019-1439531,Yes
ES-2019-1484906,Yes
ES-2019-1484906,Yes
ES-2019-1484906,Yes
ES-2019-1484906,Yes
ES-2019-1484906,Yes
ES-2019-1721838,Yes
ES-2019-1721838,Yes
ES-2019-1721838,Yes
ES-2019-1721838,Yes
ES-2019-1845274,Yes
ES-2019-1986848,Yes
ES-2019-2088434,Yes
ES-2019-2088434,Yes
ES-2019-2088434,Yes
ES-2019-2088434,Yes
ES-2019-2102738,Yes
ES-2019-2102738,Yes
ES-2019-2212320,Yes
ES-2019-2212320,Yes
ES-2019-2212320,Yes
ES-2019-2212320,Yes
ES-2019-2212320,Yes
ES-2019-2212320,Yes
ES-2019-2212320,Yes
ES-2019-2212320,Yes
ES-2019-2212320,Yes
ES-2019-2223096,Yes
ES-2019-2270219,Yes
ES-2019-2280466,Yes
ES-2019-2376426,Yes
ES-2019-2431083,Yes
ES-2019-2680511,Yes
ES-2019-3075381,Yes
ES-2019-3075381,Yes
ES-2019-3246286,Yes
ES-2019-3246286,Yes
ES-2019-3246286,Yes
ES-2019-3246286,Yes
ES-2019-3246286,Yes
ES-2019-3246286,Yes
ES-2019-3327222,Yes
ES-2019-3327222,Yes
ES-2019-3330001,Yes
ES-2019-3330001,Yes
ES-2019-3330001,Yes
ES-2019-3330001,Yes
ES-2019-3330001,Yes
ES-2019-3330001,Yes
ES-2019-3330001,Yes
ES-2019-3330001,Yes
ES-2019-3362320,Yes
ES-2019-3471401,Yes
ES-2019-3471401,Yes
ES-2019-3471401,Yes
ES-2019-3631542,Yes
ES-2019-3631542,Yes
ES-2019-3679676,Yes
ES-2019-3679676,Yes
ES-2019-3679676,Yes
ES-2019-3679676,Yes
ES-2019-3697227,Yes
ES-2019-3697227,Yes
ES-2019-3697227,Yes
ES-2019-3715659,Yes
ES-2019-4007496,Yes
ES-2019-4007496,Yes
ES-2019-4079399,Yes
ES-2019-4079399,Yes
ES-2019-4079399,Yes
ES-2019-4193401,Yes
ES-2019-4193401,Yes
ES-2019-4250639,Yes
ES-2019-4286133,Yes
ES-2019-4379168,Yes
ES-2019-4379168,Yes
ES-2019-4379168,Yes
ES-2019-4485887,Yes
ES-2019-4485887,Yes
ES-2019-4662036,Yes
ES-2019-4662036,Yes
ES-2019-4662036,Yes
ES-2019-4662036,Yes
ES-2019-4662036,Yes
ES-2019-4662036,Yes
ES-2019-4662036,Yes
ES-2019-4662036,Yes
ES-2019-4662036,Yes
ES-2019-4717022,Yes
ES-2019-4717022,Yes
ES-2019-4804562,Yes
ES-2019-4829315,Yes
ES-2019-4829315,Yes
ES-2019-4840257,Yes
ES-2019-4844965,Yes
ES-2019-4844965,Yes
ES-2019-5207465,Yes
ES-2019-5207465,Yes
ES-2019-5238758,Yes
ES-2019-5238758,Yes
ES-2019-5238758,Yes
ES-2019-5238758,Yes
ES-2019-5238758,Yes
ES-2019-5365524,Yes
ES-2019-5365524,Yes
ES-2019-5466966,Yes
ES-2019-5566923,Yes
ES-2019-5645358,Yes
ES-2019-5645358,Yes
ES-2019-5745179,Yes
ES-2019-5745179,Yes
ES-2019-5745179,Yes
ES-2019-5745179,Yes
ES-2019-5745179,Yes
ES-2019-5745179,Yes
ES-2019-5757351,Yes
ES-2019-5845607,Yes
ES-2019-5845607,Yes
ES-2019-5897153,Yes
ES-2019-5923089,Yes
ES-2019-5923089,Yes
ES-2019-5923089,Yes
ES-2019-5923089,Yes
ES-2019-5923089,Yes
ES-2019-5944655,Yes
ES-2019-5959969,Yes
ES-2020-1072619,Yes
ES-2020-1093488,Yes
ES-2020-1217902,Yes
ES-2020-1217902,Yes
ES-2020-1268416,Yes
ES-2020-1268416,Yes
ES-2020-1341762,Yes
ES-2020-1525878,Yes
ES-2020-1525878,Yes
ES-2020-1610512,Yes
ES-2020-1706935,Yes
ES-2020-1706935,Yes
ES-2020-1706935,Yes
ES-2020-1713812,Yes
ES-2020-1727818,Yes
ES-2020-1727818,Yes
ES-2020-1785128,Yes
ES-2020-1795340,Yes
ES-2020-1835691,Yes
ES-2020-1874583,Yes
ES-2020-1874583,Yes
ES-2020-1874583,Yes
ES-2020-1874583,Yes
ES-2020-1906012,Yes
ES-2020-1906012,Yes
ES-2020-1906012,Yes
ES-2020-1925248,Yes
ES-2020-2003988,Yes
ES-2020-2003988,Yes
ES-2020-2003988,Yes
ES-2020-2003988,Yes
ES-2020-2003988,Yes
ES-2020-2003988,Yes
ES-2020-2048769,Yes
ES-2020-2048769,Yes
ES-2020-2048769,Yes
ES-2020-2091965,Yes
ES-2020-2091965,Yes
ES-2020-2091965,Yes
ES-2020-2091965,Yes
ES-2020-2310454,Yes
ES-2020-2310454,Yes
ES-2020-2310454,Yes
ES-2020-2310454,Yes
ES-2020-2335535,Yes
ES-2020-2339975,Yes
ES-2020-2406661,Yes
ES-2020-2491395,Yes
ES-2020-2491395,Yes
ES-2020-2491395,Yes
ES-2020-2491395,Yes
ES-2020-2491395,Yes
ES-2020-2603153,Yes
ES-2020-2638509,Yes
ES-2020-2639112,Yes
ES-2020-2645491,Yes
ES-2020-2745392,Yes
ES-2020-3007238,Yes
ES-2020-3061639,Yes
ES-2020-3061639,Yes
ES-2020-3078948,Yes
ES-2020-3093926,Yes
ES-2020-3093926,Yes
ES-2020-3159008,Yes
ES-2020-3159008,Yes
ES-2020-3159008,Yes
ES-2020-3159008,Yes
ES-2020-3159008,Yes
ES-2020-3159008,Yes
ES-2020-3159008,Yes
ES-2020-3159008,Yes
ES-2020-3159008,Yes
ES-2020-3159008,Yes
ES-2020-3285003,Yes
ES-2020-3323529,Yes
ES-2020-3323529,Yes
ES-2020-3425110,Yes
ES-2020-3446925,Yes
ES-2020-3446925,Yes
ES-2020-3446925,Yes
ES-2020-3508441,Yes
ES-2020-3508441,Yes
ES-2020-3508441,Yes
ES-2020-3508441,Yes
ES-2020-3547323,Yes
ES-2020-3570218,Yes
ES-2020-3570218,Yes
ES-2020-3877962,Yes
ES-2020-3877962,Yes
ES-2020-3927096,Yes
ES-2020-3927096,Yes
ES-2020-3927096,Yes
ES-2020-3927096,Yes
ES-2020-3927096,Yes
ES-2020-3988133,Yes
ES-2020-3988133,Yes
ES-2020-3988133,Yes
ES-2020-4009230,Yes
ES-2020-4009230,Yes
ES-2020-4116050,Yes
ES-2020-4116050,Yes
ES-2020-4184078,Yes
ES-2020-4190886,Yes
ES-2020-4375143,Yes
ES-2020-4429605,Yes
ES-2020-4441922,Yes
ES-2020-4441922,Yes
ES-2020-4487295,Yes
ES-2020-4487295,Yes
ES-2020-4487295,Yes
ES-2020-4569090,Yes
ES-2020-4569090,Yes
ES-2020-4569090,Yes
ES-2020-4569090,Yes
ES-2020-4569090,Yes
ES-2020-4650117,Yes
ES-2020-4790317,Yes
ES-2020-4897406,Yes
ES-2020-4972434,Yes
ES-2020-5002349,Yes
ES-2020-5002349,Yes
ES-2020-5106699,Yes
ES-2020-5106699,Yes
ES-2020-5106699,Yes
ES-2020-5239444,Yes
ES-2020-5246151,Yes
ES-2020-5246151,Yes
ES-2020-5246151,Yes
ES-2020-5246151,Yes
ES-2020-5246151,Yes
ES-2020-5246295,Yes
ES-2020-5259588,Yes
ES-2020-5616549,Yes
ES-2020-5616549,Yes
ES-2020-5623189,Yes
ES-2020-5623189,Yes
ES-2020-5648133,Yes
ES-2020-5685466,Yes
ES-2020-5734148,Yes
ES-2020-5734148,Yes
ES-2020-5746149,Yes
ES-2020-5881573,Yes
ES-2020-5881573,Yes
ES-2020-5911126,Yes
ES-2020-5911126,Yes
ES-2021-1006059,Yes
ES-2021-1006059,Yes
ES-2021-1006842,Yes
ES-2021-1006842,Yes
ES-2021-1006842,Yes
ES-2021-1012006,Yes
ES-2021-1012006,Yes
ES-2021-1015287,Yes
ES-2021-1015287,Yes
ES-2021-1178010,Yes
ES-2021-1182889,Yes
ES-2021-1193193,Yes
ES-2021-1197792,Yes
ES-2021-1197792,Yes
ES-2021-1197792,Yes
ES-2021-1197792,Yes
ES-2021-1224526,Yes
ES-2021-1224526,Yes
ES-2021-1224526,Yes
ES-2021-1224526,Yes
ES-2021-1325616,Yes
ES-2021-1325616,Yes
ES-2021-1398657,Yes
ES-2021-1526550,Yes
ES-2021-1620754,Yes
ES-2021-1627638,Yes
ES-2021-1637041,Yes
ES-2021-1637041,Yes
ES-2021-1651774,Yes
ES-2021-1651774,Yes
ES-2021-1651774,Yes
ES-2021-1651774,Yes
ES-2021-1703772,Yes
ES-2021-1703772,Yes
ES-2021-1734818,Yes
ES-2021-1734818,Yes
ES-2021-1734818,Yes
ES-2021-1873734,Yes
ES-2021-2042578,Yes
ES-2021-2228032,Yes
ES-2021-2228032,Yes
ES-2021-2228032,Yes
ES-2021-2280822,Yes
ES-2021-2280822,Yes
ES-2021-2280822,Yes
ES-2021-2280822,Yes
ES-2021-2280822,Yes
ES-2021-2280822,Yes
ES-2021-2299862,Yes
ES-2021-2299862,Yes
