prodID,storeID
US-TEC-AC-10002049,1073
US-FUR-CH-10000229,1012
US-OFF-PA-10004071,1196
US-OFF-AR-10002445,1449
EU-OFF-ST-10001974,2312
EU-OFF-LA-10002996,2585
EU-FUR-BO-10002318,2078
US-TEC-PH-10002447,1020
US-OFF-BI-10004364,1052
EU-OFF-BI-10000620,1706
EU-TEC-CO-10001795,2323
US-TEC-AC-10000927,1114
EU-FUR-CH-10004606,1796
EU-TEC-PH-10003137,2423
US-OFF-PA-10000791,1020
US-OFF-PA-10000791,1022
US-OFF-ST-10002583,1062
EU-TEC-CO-10004365,1629
US-TEC-AC-10002800,1046
EU-OFF-EN-10003737,1678
US-TEC-AC-10002049,1062
US-FUR-CH-10003379,1309
US-FUR-CH-10000229,1022
EU-FUR-CH-10003054,1922
US-TEC-AC-10002857,1022
EU-OFF-EN-10003615,1654
US-OFF-PA-10000791,1004
EU-OFF-PA-10001722,2440
EU-OFF-BI-10003152,1948
US-TEC-PH-10002624,1211
EU-OFF-SU-10003209,1611
EU-OFF-BI-10000620,1718
US-TEC-PH-10000215,1047
EU-OFF-BI-10000620,1719
EU-OFF-BI-10000620,1710
EU-OFF-AP-10004869,2527
US-OFF-FA-10000490,1092
EU-TEC-CO-10003474,2287
EU-OFF-BI-10003124,2538
US-OFF-ST-10001272,1240
EU-OFF-BI-10003708,1706
EU-TEC-AC-10004679,1996
EU-OFF-LA-10004774,1633
EU-TEC-PH-10003847,1726
US-TEC-PH-10002447,1001
US-OFF-BI-10001890,1052
EU-OFF-SU-10000514,2442
US-OFF-BI-10001890,1055
US-OFF-EN-10003448,1026
EU-OFF-PA-10003899,2260
EU-FUR-CH-10002288,2459
EU-TEC-AC-10003327,1741
US-OFF-ST-10001272,1249
US-OFF-PA-10004359,1332
US-FUR-FU-10001546,1184
US-TEC-AC-10002800,1020
US-OFF-PA-10002005,1324
EU-FUR-CH-10003750,1773
EU-OFF-ST-10000988,2158
EU-OFF-BI-10003705,1892
US-OFF-PA-10004675,1331
EU-FUR-BO-10003881,2077
EU-TEC-CO-10000013,1812
US-FUR-CH-10000229,1045
EU-FUR-CH-10002373,2117
EU-OFF-PA-10004034,1918
US-OFF-AR-10003651,1008
US-TEC-PH-10001557,1443
