orderID,prodID,sales,quantity,discount,profit
CA-2021-152156,US-FUR-BO-10001798,261.96,2,0,41.91
CA-2021-152156,US-FUR-CH-10000454,731.94,3,0,219.58
CA-2021-138688,US-OFF-LA-10000240,14.62,2,0,6.87
2020-108966,US-FUR-TA-10000577,957.5775,5,0.45,-383.03
2020-108966,US-OFF-ST-10000760,22.368,2,0.2,2.52
CA-2019-115812,US-FUR-FU-10001487,48.86,7,0,14.17
CA-2019-115812,US-OFF-AR-10002833,7.28,4,0,1.97
CA-2019-115812,US-TEC-PH-10002275,907.152,6,0.2,90.72
CA-2019-115812,US-OFF-BI-10003910,18.504,3,0.2,5.78
CA-2019-115812,US-OFF-AP-10002892,114.9,5,0,34.47
CA-2019-115812,US-FUR-TA-10001539,1706.184,9,0.2,85.31
CA-2019-115812,US-TEC-PH-10002033,911.424,4,0.2,68.36
CA-2022-114412,US-OFF-PA-10002365,15.552,3,0.2,5.44
CA-2021-161389,US-OFF-BI-10003656,407.976,3,0.2,132.59
2020-118983,US-OFF-AP-10002311,68.81,5,0.8,-123.86
2020-118983,US-OFF-BI-10000756,2.544,3,0.8,-3.82
CA-2019-105893,US-OFF-ST-10004186,665.88,6,0,13.32
CA-2019-167164,US-OFF-ST-10000107,55.5,2,0,9.99
CA-2019-143336,US-OFF-AR-10003056,8.56,2,0,2.48
CA-2019-143336,US-TEC-PH-10001949,213.48,3,0.2,16.01
CA-2019-143336,US-OFF-BI-10002215,22.72,4,0.2,7.38
CA-2021-137330,US-OFF-AR-10000246,19.46,7,0,5.06
CA-2021-137330,US-OFF-AP-10001492,60.34,7,0,15.69
2022-156909,US-FUR-CH-10002774,71.372,2,0.3,-1.02
CA-2020-106320,US-FUR-TA-10000577,1044.63,3,0,240.26
CA-2021-121755,US-OFF-BI-10001634,11.648,2,0.2,4.22
CA-2021-121755,US-TEC-AC-10003027,90.57,3,0,11.77
2020-150630,US-FUR-BO-10004834,3083.43,7,0.5,-1665.05
2020-150630,US-OFF-BI-10000474,9.618,2,0.7,-7.05
2020-150630,US-FUR-FU-10004848,124.2,3,0.2,15.53
2020-150630,US-OFF-EN-10001509,3.264,2,0.2,1.10
2020-150630,US-OFF-AR-10004042,86.304,6,0.2,9.71
2020-150630,US-OFF-BI-10001525,6.858,6,0.7,-5.72
2020-150630,US-OFF-AR-10001683,15.76,2,0.2,3.55
CA-2022-107727,US-OFF-PA-10000249,29.472,3,0.2,9.95
CA-2021-117590,US-TEC-PH-10004977,1097.544,7,0.2,123.47
CA-2021-117590,US-FUR-FU-10003664,190.92,5,0.6,-147.96
CA-2020-117415,US-OFF-EN-10002986,113.328,9,0.2,35.42
CA-2020-117415,US-FUR-BO-10002545,532.3992,3,0.32,-46.98
CA-2020-117415,US-FUR-CH-10004218,212.058,3,0.3,-15.15
CA-2020-117415,US-TEC-PH-10000486,371.168,4,0.2,41.76
CA-2022-120999,US-TEC-PH-10004093,147.168,4,0.2,16.56
CA-2021-101343,US-OFF-ST-10003479,77.88,2,0,3.89
CA-2022-139619,US-OFF-ST-10003282,95.616,2,0.2,9.56
CA-2021-118255,US-TEC-AC-10000171,45.98,2,0,19.77
