orderID,orderDate,shipDate,shipMode,segment,custID,storeID,isReturned
2019-100279,2019-03-10,2019-03-14,Standard Class,Consumer,SW-20275,1220,0
2019-100853,2019-09-14,2019-09-19,Standard Class,Corporate,JB-15400,1022,0
2019-102071,2019-05-09,2019-05-15,Standard Class,Consumer,PG-18820,1008,0
2019-102631,2019-12-13,2019-12-17,Standard Class,Corporate,EB-13840,1022,0
2019-102715,2019-04-11,2019-04-13,Second Class,Consumer,JK-15370,1106,0
2019-103338,2019-03-11,2019-03-15,Standard Class,Consumer,RB-19435,1043,0
2019-103905,2019-07-14,2019-07-20,Standard Class,Home Office,AW-10930,1150,0
2019-104759,2019-03-31,2019-04-04,Standard Class,Consumer,DD-13570,1022,0
2019-105137,2019-10-10,2019-10-10,Same Day,Consumer,RB-19435,1038,0
2019-105151,2019-03-30,2019-03-31,First Class,Corporate,SG-20890,1020,0
2019-105767,2019-05-23,2019-05-27,Standard Class,Consumer,AR-10510,1010,0
2019-106299,2019-08-02,2019-08-08,Standard Class,Home Office,NZ-18565,1306,0
2019-106334,2019-12-27,2020-01-02,Standard Class,Consumer,JF-15490,1008,0
2019-106992,2019-09-19,2019-09-21,Second Class,Corporate,SB-20290,1012,0
2019-107405,2019-03-21,2019-03-25,Standard Class,Corporate,TS-21205,1170,0
2019-107699,2019-05-19,2019-05-23,Standard Class,Consumer,JH-15820,1346,0
2019-107993,2019-11-25,2019-11-30,Standard Class,Consumer,SE-20110,1302,0
2019-109036,2019-12-20,2019-12-25,Standard Class,Consumer,KH-16510,1004,0
2019-109162,2019-06-08,2019-06-12,Standard Class,Corporate,KE-16420,1039,0
2019-109456,2019-10-16,2019-10-17,Same Day,Consumer,LS-17245,1008,0
2019-110674,2019-02-12,2019-02-18,Standard Class,Consumer,SC-20095,1120,0
2019-111171,2019-12-26,2019-12-31,Standard Class,Consumer,CA-12265,1022,0
2019-111353,2019-11-29,2019-12-06,Standard Class,Consumer,PB-19150,1020,0
2019-112200,2019-11-22,2019-11-28,Standard Class,Home Office,TC-21475,1403,0
2019-112564,2019-04-23,2019-04-24,First Class,Corporate,TS-21160,1010,0
2019-112795,2019-08-23,2019-08-28,Second Class,Home Office,CR-12625,1409,0
2019-112872,2019-12-06,2019-12-11,Second Class,Consumer,RC-19960,1302,0
2019-112914,2019-09-25,2019-09-30,Standard Class,Home Office,MT-18070,1012,0
2019-112949,2019-06-20,2019-06-27,Standard Class,Consumer,CL-12640,1468,0
2019-112991,2019-12-10,2019-12-14,Standard Class,Corporate,SH-19975,1526,0
2019-113124,2019-03-30,2019-04-05,Standard Class,Consumer,NC-18340,1393,0
2019-114188,2019-05-20,2019-05-22,Second Class,Corporate,RF-19345,1327,0
2019-114377,2019-11-05,2019-11-05,Same Day,Consumer,BG-11035,1469,0
2019-115189,2019-12-30,2020-01-03,Second Class,Corporate,AR-10345,1010,0
2019-115196,2019-09-09,2019-09-13,Standard Class,Consumer,DL-12925,1227,0
2019-115413,2019-08-26,2019-09-01,Standard Class,Home Office,PP-18955,1258,0
2019-115987,2019-09-08,2019-09-13,Second Class,Consumer,LH-17020,1154,0
2019-117058,2019-05-27,2019-05-30,First Class,Consumer,LE-16810,1022,0
2019-117135,2019-06-21,2019-06-23,Second Class,Consumer,NP-18325,1156,0
2019-117163,2019-01-27,2019-02-02,Standard Class,Consumer,EJ-13720,1073,0
2019-117170,2019-09-17,2019-09-24,Standard Class,Consumer,KT-16465,1287,0
2019-117380,2019-03-28,2019-04-03,Standard Class,Home Office,MP-18175,1136,0
2019-117744,2019-12-02,2019-12-06,Standard Class,Corporate,MD-17860,1385,0
2019-117968,2019-08-05,2019-08-07,Second Class,Corporate,RS-19420,1289,0
2019-118486,2019-04-06,2019-04-08,First Class,Home Office,SD-20485,1010,0
2019-118997,2019-04-08,2019-04-12,Standard Class,Corporate,RA-19885,1027,0
