prodID,name,price,subCatID
EU-FUR-BO-10000002,"Bush Classic Bookcase, Mobile",415.20,FUR-101
EU-FUR-BO-10000022,"Dania Floating Shelf Set, Traditional",169.35,FUR-101
EU-FUR-BO-10000034,"Safco Classic Bookcase, Pine",439.50,FUR-101
EU-FUR-BO-10000120,"Sauder Stackable Bookrack, Mobile",146.82,FUR-101
EU-FUR-BO-10000155,"Dania Corner Shelving, Metal",121.53,FUR-101
EU-FUR-BO-10000160,"Safco Library with Doors, Pine",391.14,FUR-101
EU-FUR-BO-10000170,"Safco Library with Doors, Mobile",392.31,FUR-101
EU-FUR-BO-10000259,"Safco Classic Bookcase, Traditional",438.15,FUR-101
EU-FUR-BO-10000265,"Bush Floating Shelf Set, Pine",172.62,FUR-101
EU-FUR-BO-10000268,"Bush Library with Doors, Pine",365.67,FUR-101
EU-FUR-BO-10000279,"Dania Classic Bookcase, Pine",412.11,FUR-101
EU-FUR-BO-10000311,"Safco Floating Shelf Set, Metal",196.20,FUR-101
EU-FUR-BO-10000490,"Bush Library with Doors, Metal",363.78,FUR-101
EU-FUR-BO-10000514,"Bush Library with Doors, Traditional",364.32,FUR-101
EU-FUR-BO-10000533,"Dania Corner Shelving, Pine",123.42,FUR-101
EU-FUR-BO-10000596,"Sauder Classic Bookcase, Mobile",438.51,FUR-101
EU-FUR-BO-10000684,"Sauder Corner Shelving, Traditional",147.30,FUR-101
EU-FUR-BO-10000728,"Dania Corner Shelving, Traditional",122.07,FUR-101
EU-FUR-BO-10000786,"Sauder Stackable Bookrack, Pine",148.17,FUR-101
EU-FUR-BO-10000797,"Safco 3-Shelf Cabinet, Pine",170.19,FUR-101
EU-FUR-BO-10000820,"Sauder 3-Shelf Cabinet, Metal",166.14,FUR-101
EU-FUR-BO-10000847,"Dania Stackable Bookrack, Mobile",121.59,FUR-101
EU-FUR-BO-10000895,"Sauder Corner Shelving, Metal",146.76,FUR-101
EU-FUR-BO-10000936,"Bush Floating Shelf Set, Traditional",171.27,FUR-101
EU-FUR-BO-10000967,"Ikea Library with Doors, Pine",364.74,FUR-101
EU-FUR-BO-10001003,"Dania 3-Shelf Cabinet, Traditional",141.45,FUR-101
EU-FUR-BO-10001010,"Dania Corner Shelving, Mobile",124.59,FUR-101
EU-FUR-BO-10001039,"Dania Classic Bookcase, Traditional",410.76,FUR-101
EU-FUR-BO-10001133,"Ikea Classic Bookcase, Mobile",414.27,FUR-101
EU-FUR-BO-10001155,"Ikea 3-Shelf Cabinet, Metal",141.90,FUR-101
EU-FUR-BO-10001165,"Bush Library with Doors, Mobile",366.84,FUR-101
EU-FUR-BO-10001256,"Ikea Corner Shelving, Pine",124.41,FUR-101
EU-FUR-BO-10001287,"Dania Floating Shelf Set, Metal",168.81,FUR-101
EU-FUR-BO-10001324,"Sauder Floating Shelf Set, Pine",195.93,FUR-101
EU-FUR-BO-10001387,"Safco Floating Shelf Set, Traditional",196.74,FUR-101
EU-FUR-BO-10001392,"Sauder Classic Bookcase, Traditional",435.99,FUR-101
EU-FUR-BO-10001405,"Bush Stackable Bookrack, Pine",124.86,FUR-101
EU-FUR-BO-10001436,"Bush Corner Shelving, Traditional",123.99,FUR-101
EU-FUR-BO-10001537,"Ikea Corner Shelving, Metal",122.52,FUR-101
EU-FUR-BO-10001553,"Sauder Library with Doors, Traditional",387.63,FUR-101
EU-FUR-BO-10001555,"Bush Corner Shelving, Metal",123.45,FUR-101
EU-FUR-BO-10001621,"Dania Stackable Bookrack, Traditional",121.05,FUR-101
EU-FUR-BO-10001714,"Dania Floating Shelf Set, Mobile",171.87,FUR-101
EU-FUR-BO-10001831,"Sauder Floating Shelf Set, Metal",194.04,FUR-101
EU-FUR-BO-10001834,"Ikea 3-Shelf Cabinet, Mobile",144.96,FUR-101
EU-FUR-BO-10001873,"Ikea Floating Shelf Set, Mobile",172.86,FUR-101
EU-FUR-BO-10001876,"Safco Corner Shelving, Pine",150.81,FUR-101
EU-FUR-BO-10001888,"Dania Floating Shelf Set, Pine",170.70,FUR-101
EU-FUR-BO-10001892,"Sauder Library with Doors, Pine",388.98,FUR-101
EU-FUR-BO-10001943,"Safco Library with Doors, Traditional",389.79,FUR-101
EU-FUR-BO-10002003,"Sauder Classic Bookcase, Metal",435.45,FUR-101
EU-FUR-BO-10002133,"Bush Corner Shelving, Mobile",126.51,FUR-101
EU-FUR-BO-10002182,"Safco Floating Shelf Set, Pine",198.09,FUR-101
EU-FUR-BO-10002318,"Dania Classic Bookcase, Mobile",413.28,FUR-101
EU-FUR-BO-10002529,"Safco Library with Doors, Metal",389.25,FUR-101
EU-FUR-BO-10002632,"Sauder Corner Shelving, Pine",148.65,FUR-101
EU-FUR-BO-10002680,"Sauder 3-Shelf Cabinet, Traditional",166.68,FUR-101
EU-FUR-BO-10002708,"Dania Library with Doors, Pine",363.75,FUR-101
EU-FUR-BO-10002781,"Sauder Floating Shelf Set, Traditional",194.58,FUR-101
EU-FUR-BO-10002812,"Sauder 3-Shelf Cabinet, Pine",168.03,FUR-101
EU-FUR-BO-10002889,"Dania Stackable Bookrack, Pine",124.11,FUR-101
EU-FUR-BO-10002892,"Safco Classic Bookcase, Mobile",440.67,FUR-101
